id,old_claim_or_label,where,status,replacement_or_correction,canonical_rule
S01,RHFS still open,orig_bundle/README_CURRENT_PROGRESS.md,Superseded,RHFS 2015/2018/2021/2024 PUF results are present.,Use rhfs_management_effort_summary_2015_2024.csv and associated RHFS memos; old blocker text is historical only.
S02,2017 sharp lower bound = 8.08%,old README / early C3 diagnostic,Superseded,Corrected BEA/BLS workbook gives 9.58% in 2017.,Use bea_sharp_intertemporal_bound_aggregate_2000_2023.csv.
S03,C8/C9 public medical + PCE>DPI = 20.72% hard financing-route share,C8/C9,Superseded interpretation,Payer route and current-DPI sufficiency are orthogonal dimensions.,"Retain 10.62% 2023 timing floor, but do not add it to payer-route shares."
S04,Raw CMS PHI / PCE as an additive private-insurance cell,C10 scale diagnostic,Superseded as additive method,CMS PHI includes medical benefits plus non-medical insurance expenditure; NIPA PCE concepts differ.,Use NIPA-scaled service-specific payer mapping (C17) and explicit residuals.
S05,Current Table 2.5.5 Health and broader NHEA-mapped health are one series,early long-run health wording,Superseded wording,They are related but distinct concepts; historical differences can be 5–8%.,Use current Health for product spine; mapped-health for payer/service reconciliation.
S06,Graph C20 v3 is latest modern route ledger,nonhealth pass,Superseded,C22 v4 adds tenant rent and utilities and is the latest canonical 2023 route snapshot.,Use C22 for route completeness metrics.
S07,37.25% named/special route share is current 2023 completeness,C20 v3,Superseded,Latest 2023 route-classified share is 40.99%; 2.38% is named but route-unresolved.,Use C22 summary.
S08,34.46% long-run named-form share and 40.99% modern route-classified share are directly comparable,C24 vs C22,Do not compare as same metric,C24 uses a deliberately narrower long-run hard-form set; C22 uses richer 2023 health routing.,"Keep both, with distinct labels."
S09,Owner-housing land/site residual is a land-rent flow,D2/D3 housing diagnostics,Invalid interpretation,Market value minus matched structure current cost is a stock residual.,Convert to a flow only under an explicit capitalization/user-cost sensitivity band.
S10,A1 effort share is the wage-financed share of PCE,A1,Invalid interpretation,"A1 classifies origin of household resource claims, not the financing of individual PCE dollars.",Keep A/F and R/Q ledgers distinct.
S11,Legacy λC/direct-wage trend can be read as causal automation evidence,paper Figure 7 / old fiscal diagnostics,Diagnostic only,"The paper itself describes funding attribution as pro-rata accounting, not incidence; program composition materially drives the trend.",Canonical F layer still needs a rebuilt financing-origin ledger or bounds.
S12,Rental income of persons equals cash landlord/site rent,early rental interpretation,Invalid interpretation,Most rental income of persons is owner-occupied imputation; net rental income is not site rent.,Use rental composition + housing production bridge + site-stock residual separately.
S13,Old exploratory graph IDs are stable paper figure numbers,C1–C29 / D1–D6,Retired naming convention,"IDs collide across passes and encode research chronology, not final architecture.",Freeze paper-facing IDs using FINAL_FIGURE_REGISTRY.csv; retain old IDs only as diagnostic filenames.
